dcName,admonEventType,objectCategory,userPrincipalName,name,displayName,distinguishedName,givenName,sn,cn,sAMAccountType,sAMAccountName,logonCount,accountExpires,objectSid,primaryGroupID,pwdLastSet,lastLogon,lastLogoff,badPasswordTime,countryCode,codePage,badPwdCount,userAccountControl,objectGUID,whenChanged,whenCreated,objectClass,uSNChanged,uSNCreated,instanceType,msDS-SupportedEncryptionTypes,companySecureAuthQ,msExchSafeSendersHash,msRTCSIP-OptionFlags,msExchSafeRecipientsHash,msRTCSIP-UserEnabled,companyJobBandCode,msRTCSIP-InternetAccessEnabled,msRTCSIP-DeploymentLocator,msExchArchiveName,msRTCSIP-UserRoutingGroupId,companySecureAuthA,msRTCSIP-FederationEnabled,msExchVersion,msExchRecipientTypeDetails,msExchArchiveGUID,msRTCSIP-PrimaryUserAddress,msExchArchiveStatus,msExchRemoteRecipientType,msRTCSIP-PrimaryHomeServer,msExchRecipientDisplayType,msExchUMDtmfMap,msExchMobileMailboxFlags,msExchUserHoldPolicies,companySSUStatus,msExchWhenMailboxCreated,UserPolicies,companyJobKey,companyJobLevelIncrement,companyEmployeeSubGroup,companyEmployeeGroup,companyJobLevelDesignation,companyReportToManager,companyAssignmentID,companyJobCode,companyAccountQNA,companyCostAccount,companyHROrgUnitCode,msExchPoliciesExcluded,dLMemDefault,msExchMailboxGuid,msExchIMAddress,msExchIMVirtualServer,msExchIMPhysicalURL,msExchIMMetaPhysicalURL,msExchIMACL,msExchUserAccountControl,msExchHideFromAddressLists,msExchADCGlobalNames,msExchALObjectVersion,replicationSignature,middleName,mobile,manager,mail,textEncodedORAddress,lastLogonTimestamp,dSCorePropagationData,isCriticalSystemObject,servicePrincipalName,dNSHostName,operatingSystemServicePack,operatingSystemVersion,operatingSystem,localPolicyFlags,serviceDNSNameType,serviceDNSName,serviceBindingInformation,serviceClassName,userSharedFolder,lockoutTime,groupType,managedBy,legacyExchangeDN,showInAddressBook,division,comment,logonHours,scripPath,homeDrive,homeDirectory,employeeID,personalTitle,replicatedObjectVersion,protocolSettings,mailNickname,directReports,extensionAttribute6,extensionAttribute5,extensionAttribute3,extensionAttribute2,extensionAttribute1,mAPIRecipient,targetAddress,garbageCollPeriod,streetAddress,proxyAddresses,company,department,co,memberOf,info,member,initials,userCertificate,facsimileTelephoneNumber,telephoneNumber,physicalDeliveryOfficeName,postOfficeBox,postalCode,postalAddress,description,keywords,showInAdvancedViewOnly,title,st,l,c
wsaddc0202.core.dir.test.com,Update,"CN=Computer,CN=Schema,CN=Configuration,DC=core,DC=dir,DC=test,DC=com",,WVDI7C85482,WVDI7C85482,"CN=WVDI7C85482,OU=Clayton,OU=Standard IE 11,OU=Win7,OU=DVP,OU=Workstation,DC=core,DC=dir,DC=test,DC=com",,,WVDI7C85482,805306369,WVDI7C85482$,24,Never Expires,S-1-5-21-2057967664-1157253723-1077494903-1249623,515,,"05:09.41 PM,Sun 02/25/2018",0,0,0,0,0,4128,d0cea037-65dc-46b3-8407-909a429f037a,"07:54.26 PM, Thu 08/30/2018","11:34.28 PM,Fri 11/20/2015",top|person|organizationalPerson|user|computer,197602571,60155545,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12:06.08 PM, Mon 11/09/2018",20180615070843.0Z|20180606075306.0Z|20171212090026.0Z|20171211001402.0Z|16010714223649.0Z,FALSE,host/WVDI7C85482|TERMSRV/WVDI7C85482|TERMSRV/WVDI7C85482.wg.dir.test.com|host/WVDI7C85482.wg.dir.test.com,WVDI7C85482Lg.dir.test.com,Service Pack 1,6.1,Windows 7 Enterprise,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAaaS Computer Account:DTC1025,,,,,,
wsaddc0202.core.dir.test.com,Update,"CN=Group,CN=Schema,CN=Configuration,DC=core,DC=dir,DC=test,DC=com",,aMDM-Enrolment,,"CN=aMDM-Enrolment,OU=Managed,OU=Groups,DC=core,DC=dir,DC=test,DC=com",,,aMDM-Enrolment,26843456,aMDM-Enrolment,,,S-1-5-21-2057967664-1157253723-1077494903-981265,,,,,,,,,,44agt574-5ab6-9u77-7865-0yt78b5rti2l,"01:47.37 PM, Thu 09/22/2018","12:47.30 PM, Wed 06/05/2013",top|group,697259104,1544665,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171212085420.0Z|20151101133440.0Z|20150715065052.0Z|20150715063602.0Z|16010714223649.0Z,,,,,,,,,,,,,,-2147483646,"CN=DAaMDM-Enrolment,OU=Delegates,OU=Groups,DC=core,DC=dir,DC=test,DC=com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Created by GroupManagementTool;user:d60733f 05/06/2013 12:43.43 PM,"CN=c953294,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com|CN=c88566,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com|CN=c797929,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",,,,,,,,,1136;Authorization for MDM Platform,,,,,,
wsaddc0202.core.dir.test.com,Update,"CN=Person,CN=Schema,CN=Configuration,DC=core,DC=dir,DC=test,DC=com",n078200@core.dir.test.com,n078200,n078200 SRE Monitoring,"CN=n078200,CN=Users,DC=core,DC=dir,DC=test,DC=com",,Peter c771055,n078200,805306368,n078200,,Never Expires,S-1-5-21-2057967664-1157253723-1077494903-549057,513,"02:45.00 PM,Tue 08/14/2018",,,"12:26.45 AM,Wed 11/28/2018",0,0,5,512,b9c33313-2592-4af2-9b87-fcacbc10cd96,"12:02.55 AM, Sat 06/24/2018","11:12.35 AM,Fri 07/11/2008",top|person|organizationalPerson|user,972986470,544274,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN=d632204,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",,,,,,,,,,,,,,,,,,,,,"CN=d632204,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",,,"07:55.27 AM,Fri 09/14/2018",20171212085700.0Z|20151101133600.0Z|20150715065218.0Z|20150715063736.0Z|16010714223649.0Z,,,,,,,,,,,,,"12:03.16 AM, Thu 11/19/2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN=aSentineIV3-dummy,OU=Managed,OU=Groups,DC=core,DC=dir,DC=test,Dc=com|CN=aPUMACID-User,OU=Managed,OU=Groups,DC=core,DC=dir,DC=test,DC=com|CN=aInternetForAll,OU=Sentinel,OU=Groups,DC=core,DC=dir,DC=test,DC=com",,,,,,,,,,,SRE Monitoring Robot Account,,,,,,
wsaddc0202.core.dir.test.com,Update,"CN=Group,CN=Schema,CN=Configuration,DC=core,DC=dir,DC=test,DC=com",,aMDM-Enrolment,,"CN=aMDM-Enrolment,OU=Managed,OU=Groups,DC=core,DC=dir,DC=test,DC=com",,,aMDM-Enrolment,26843456,aMDM-Enrolment,,,S-1-5-21-2057967664-1157253723-1077494903-981265,,,,,,,,,,44agt574-5ab6-9u77-7865-0yt78b5rti2l,"09:22.32 PM, Sun 11/31/2018","12:47.30 PM, Wed 06/05/2013",top|group,310112647,1544665,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171212085420.0Z|20151101133440.0Z|20150715065052.0Z|20150715063602.0Z|16010714223649.0Z,,,,,,,,,,,,,,-2147483646,"CN=DAaMDM-Enrolment,OU=Delegates,OU=Groups,DC=core,DC=dir,DC=test,DC=com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Created by GroupManagementTool;user:d60733f 05/06/2013 12:43.43 PM,"CN=c953294,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com|CN=c88566,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com|CN=c797929,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",,,,,,,,,1136;Authorization for MDM Platform,,,,,,
wsaddc0202.core.dir.test.com,Update,"CN=Person,CN=Schema,CN=Configuration,DC=core,DC=dir,DC=test,DC=com",abc.def@team.test.com,c848345,"def,abc","CN=c848345,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",abc,def,c848345,805306368,c848345,,0,S-1-5-21-2057967664-1157253723-1077494903-80019,513,"09:52.20 AM, Wed 11/07/2018",,,"11:00.51 AM, Tue 05/09/2017",0,0,0,512,5afafc59-955e-45ba-9285-d8aef1ae2cb1,"10:59.44 AM, Fri 03/26/2018","04:25.00 AM, Sat 07/29/2000",top|person|organizationalPerson|user,953646790,2424715,4,,,<binary>,257,<binary>,TRUE,2,TRUE,SRV:,"In-Place Archive-def,abc",<binary>,,TRUE,4.4221E+13,2147483648,<binary>,sip:abc.def@team.test.com,1,1,"CN=Lc Services,CN=Microsoft,CN=1:1,CN=Pools,CN=RTC Service,CN=Microsoft,CN=System,DC=core,DC=dir,DC=test,DC=com",-2147483642,reversedPhone:26499114116+|reversedPhone:26499114116+|emailAddress:87386732847|lastNameFirstName:32847873867|firstNameLastName:87386732874,1,98E9BABD09A04bcf8455A58C2AA74182Unlimit|289c5a262a0d4fe8a0617c,NONSP,20161116080906.0Z,21=3|0=1630825109,ISOPSPEC,,CN,B,,"CN=C823348,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",96449017,91005259,,CLI483,90075631,{26491CFC-9E50-4857-861B-0CB8DF22B5D7},1,<binary>,abc.def@wsmsg003.srv.dir.test.com,"CN=1\0ADEL:c5050d08-b48c-4ecc-8df9-64cb5212a85f,CN=Deleted Objects,CN=Configuration,DC=cor,DC=dir,DC=test,DC=com",http://wsmsg8402/instmsg/local/wsmsg0003.srv.dir.test.com/instmsg/aliases/abc.def,http://wsmsg0003.srv.dir.test.com/instmsg/aliases/abc.def,1,0,FALSE,,2155,<binary>,,+61 491991264,"CN=c832284,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",def.abc@team.test.com,c=AU;A=TELEMEMO;P=CORPMAIL;O=TELSTRA;S=Abc;G=Def,"11:58.34 PM, Thu 11/31/2018",20171212085302.0Z|20171124080016.0Z|20170717053228.0Z|2017012002013.0Z|16010714223649.0Z,,,,,,,,,,,,\\EMFILE0004C01\V1SEK-06-D01$,,,"CN=D1103764,OU=Distribution List,OU=Shared Mailbox,DC=core,DC=dir,DC=test,DC=com|CN=A00006031590,OU=Computer,OU=VIC,DC=core,DC=dir,DC=test,DC=com|CN=All Users,CN=All Address Lists Container,CN=Test,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=core,DC=dir,DC=test,DC=com",/o=Test/ou=External/cn=Recipients/cn=87aac11bb79a4c1b950e41c338bcb831,,Networks And IT,16-06-2004 15:58,<binary>,CLS4Stub.cmd,H:,\\EMFILE0004C02\~,38843548,Mr,0,HTTP,c884354,,[MLM-ACM R-Mailbox-ReEnable:24/09/2012],CLI483,AU\Test Group\Test\Networks and IT\Cloud and Infrastructure\Virtual and Physical Infrastructure\Infrastructure Engineering\Mainframe Midrange and Physical Servers,38843548,28 300 La Trobe Street Melbourne 3000,TRUE,SMTP:c884354@teamtest.mail.onmicrosoft.com,0,28 300 La Trobe Street Melbourne 3000,smtp:c884354@teamtest.mail.onmicrosoft.com|X500:/o=Exchange Labs/ou=Exchange Administrative Group,Ent Solutions,Mainframe Midrange and Physical Servers,Australia,"CN=C109768,OU=Managed,OU=Shared Mailboxes,DC=core,DC=dir,DC=test,DC=com|CN=D1220209,OU=Distribution Lists,OU=Shared Mailboxes,DC=core,DC=dir,DC=test,DC=com",MMS Managed Account,,,,,+61 384498177,28 300 La Trobe Street Melbourne 3000,,,,META ENABLED 25/09/2012 00:55,,,Service Operation-Senior Specialist,VIC,Melbourne,AU
wsaddc0202.core.dir.test.com,Update,"CN=Service-Connection-Point,CN=Schema,CN=Configuration,DC=core,DC=dir,DC=test,DC=com",,{ec510a03-7bc2-4c3c-a7fa-bdf0da4d6350},,"CN={ec510a03-7bc2-4c3c-a7fa-bdf0da4d6350},CN=wsweb0075c02,OU=IBMGSA,OU=Servers,DC=core,DC=dir,DC=test,DC=com",,,{ec510a03-7bc2-4c3c-a7fa-bdf0da4d6350},,,,,,,,,,,,,,,44af3e74-5336-4d46-83dc-016ea10fu9b0,"08:03.32 PM, Fri 02/30/2018","12:37.26 PM, Mon 07/23/2007",top|leaf|connectionPoint|ServiceConnectionPoint,332608356,1833902,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171212085513.0Z|20151101133512.0Z|20150715065138.0Z|20150715063651.0Z|16010714223633.0Z,,,,,,,,A,wsweb0075c02.srv.dir.test.com,ldaps://wsweb0075c02.srv.dir.test.com:636|ldap://wsweb0075c03.srv.dir.test.com:389,LDAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fsmo:schema|fsmo:naming|partition:DC=PeopleSearch,DC=Test,DC=com|dc5ae055-d736-42c0-b29d-8fa9afa29c3b|partition:CN=Configuration,CN={66A519BA-B6D1-4947-B70C-1AAB48BE6C41}|830a6103-29cd-444c-8ce3-fc7bc7a9ef3a|instance:PeopleSearch-01|site:Default-First-Site-Name|1.2.840.113556.1.4.1851|ec510a03-7bc2-4c3c-a7fa-bdf0da4d6350",TRUE,,,,
wsaddc0202.core.dir.test.com,Update,"CN=Computer,CN=Schema,CN=Configuration,DC=core,DC=dir,DC=test,DC=com",,WVDI7S45329,,"CN=WVDI7S45329,OU=St.Leonards,OU=Standard IE 11,OU=Win7,OU=DVP,OU=Workstation,DC=core,DC=dir,DC=test,DC=com",,,WVDI7S45329,805306369,WVDI7S45329$,1,Never Expires,S-1-5-21-2057967664-1157253723-1077494903-1059258,515,"07:46.47 PM,Fri 01/09/2019","04:23.02 AM,Sun 12/02/2018",,"07:02.15 AM,Tue 07/19/2016",0,0,0,4128,c8305fa5-93d9-438f-f19c-daf1b6566364,"10:15.40 PM, Sat 01/17/2018","04:03.31 AM,Thu 03/20/2014",top|person|organizationalPerson|user|computer,645460052,2496938,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10:48.00 AM, Mon 08/31/2018",20180615070856.0Z|20180606075319.0Z|20171214094302.0Z|20171212085934.0Z|16010714042433.0Z,FALSE,TERMSRV/WVDI7S45329|TERMSRV/wvdi7s45329.wg.dir.test.com|RestrictedKrbHost/WVDI7S45329|RestrictedKrbHost/wvdi7s45329|HOST/wvdi7s45329.wg.dir.test.com,wvdi7s45329_g.dir.test.com,Service Pack 1,6.1,Windows 7 Enterprise,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC1025;Application Name:DAaaS;Created by BuildVDI Script,,,,,,
wsaddc0202.core.dir.test.com,Update,"CN=Person,CN=Schema,CN=Configuration,DC=core,DC=dir,DC=test,DC=com",n078200@core.dir.test.com,n078200,n078200 SRE Monitoring,"CN=n078200,CN=Users,DC=core,DC=dir,DC=test,DC=com",,Peter c771055,n078200,805306368,n078200,,Never Expires,S-1-5-21-2057967664-1157253723-1077494903-549057,513,"02:45.00 PM,Tue 08/14/2018",,,"12:26.45 AM,Wed 11/28/2018",0,0,5,512,b9c33313-2592-4af2-9b87-fcacbc10cd96,"00:31.15 PM, Thu 11/31/2018","11:12.35 AM,Fri 07/11/2008",top|person|organizationalPerson|user,920653354,544274,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN=d632204,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",,,,,,,,,,,,,,,,,,,,,"CN=d632204,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",,,"07:55.27 AM,Fri 09/14/2018",20171212085700.0Z|20151101133600.0Z|20150715065218.0Z|20150715063736.0Z|16010714223649.0Z,,,,,,,,,,,,,"10:07.05 PM, Thu 04/31/2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN=aSentineIV3-dummy,OU=Managed,OU=Groups,DC=core,DC=dir,DC=test,Dc=com|CN=aPUMACID-User,OU=Managed,OU=Groups,DC=core,DC=dir,DC=test,DC=com|CN=aInternetForAll,OU=Sentinel,OU=Groups,DC=core,DC=dir,DC=test,DC=com",,,,,,,,,,,SRE Monitoring Robot Account,,,,,,
wsaddc0202.core.dir.test.com,Update,"CN=Person,CN=Schema,CN=Configuration,DC=core,DC=dir,DC=test,DC=com",n078200@core.dir.test.com,n078200,n078200 SRE Monitoring,"CN=n078200,CN=Users,DC=core,DC=dir,DC=test,DC=com",,Peter c771055,n078200,805306368,n078200,,Never Expires,S-1-5-21-2057967664-1157253723-1077494903-549057,513,"02:45.00 PM,Tue 08/14/2018",,,"12:26.45 AM,Wed 11/28/2018",0,0,5,512,b9c33313-2592-4af2-9b87-fcacbc10cd96,"06:18.00 AM, Wed 11/05/2018","11:12.35 AM,Fri 07/11/2008",top|person|organizationalPerson|user,212897537,544274,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN=d632204,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",,,,,,,,,,,,,,,,,,,,,"CN=d632204,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",,,"07:55.27 AM,Fri 09/14/2018",20171212085700.0Z|20151101133600.0Z|20150715065218.0Z|20150715063736.0Z|16010714223649.0Z,,,,,,,,,,,,,"10:26.11 PM, Tue 12/06/2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN=aSentineIV3-dummy,OU=Managed,OU=Groups,DC=core,DC=dir,DC=test,Dc=com|CN=aPUMACID-User,OU=Managed,OU=Groups,DC=core,DC=dir,DC=test,DC=com|CN=aInternetForAll,OU=Sentinel,OU=Groups,DC=core,DC=dir,DC=test,DC=com",,,,,,,,,,,SRE Monitoring Robot Account,,,,,,
wsaddc0202.core.dir.test.com,Update,"CN=Person,CN=Schema,CN=Configuration,DC=core,DC=dir,DC=test,DC=com",n078200@core.dir.test.com,n078200,n078200 SRE Monitoring,"CN=n078200,CN=Users,DC=core,DC=dir,DC=test,DC=com",,Peter c771055,n078200,805306368,n078200,,Never Expires,S-1-5-21-2057967664-1157253723-1077494903-549057,513,"02:45.00 PM,Tue 08/14/2018",,,"12:26.45 AM,Wed 11/28/2018",0,0,5,512,b9c33313-2592-4af2-9b87-fcacbc10cd96,"11:43.18 PM, Sat 03/14/2018","11:12.35 AM,Fri 07/11/2008",top|person|organizationalPerson|user,938757033,544274,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN=d632204,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",,,,,,,,,,,,,,,,,,,,,"CN=d632204,OU=People,OU=eProfile,DC=core,DC=dir,DC=test,DC=com",,,"07:55.27 AM,Fri 09/14/2018",20171212085700.0Z|20151101133600.0Z|20150715065218.0Z|20150715063736.0Z|16010714223649.0Z,,,,,,,,,,,,,"10:21.08 PM, Fri 12/12/2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN=aSentineIV3-dummy,OU=Managed,OU=Groups,DC=core,DC=dir,DC=test,Dc=com|CN=aPUMACID-User,OU=Managed,OU=Groups,DC=core,DC=dir,DC=test,DC=com|CN=aInternetForAll,OU=Sentinel,OU=Groups,DC=core,DC=dir,DC=test,DC=com",,,,,,,,,,,SRE Monitoring Robot Account,,,,,,
